2023-04-14 13:23:31 | CPU Usage: 84.8% | Memory Usage: 65% | Disk Usage: 36%
2023-04-14 13:23:37 | CPU Usage: 87.5% | Memory Usage: 65% | Disk Usage: 36%
2023-04-14 13:23:44 | CPU Usage: 72.7% | Memory Usage: 65% | Disk Usage: 36%
2023-04-14 13:24:10 | CPU Usage: 82.8% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:17 | CPU Usage: 76.9% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:23 | CPU Usage: 84.6% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:29 | CPU Usage: 86.2% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:35 | CPU Usage: 75.4% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:41 | CPU Usage: 86.4% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:48 | CPU Usage: 85.1% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:24:54 | CPU Usage: 87.7% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:25:00 | CPU Usage: 87.9% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:25:06 | CPU Usage: 85.1% | Memory Usage: 83% | Disk Usage: 36%
2023-04-14 13:31:22 | CPU Usage: 84.6% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:31:28 | CPU Usage: 86.2% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:31:34 | CPU Usage: 85.3% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:31:40 | CPU Usage: 74.2% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:31:47 | CPU Usage: 86.2% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:31:53 | CPU Usage: 78.8% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:31:59 | CPU Usage: 73.8% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:32:05 | CPU Usage: 84.4% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:32:11 | CPU Usage: 80.6% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:32:18 | CPU Usage: 87.9% | Memory Usage: 84% | Disk Usage: 36%
2023-04-14 13:37:08 | CPU Usage: 75.0% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:14 | CPU Usage: 73.1% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:21 | CPU Usage: 86.4% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:27 | CPU Usage: 73.1% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:33 | CPU Usage: 83.6% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:39 | CPU Usage: 88.1% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:45 | CPU Usage: 86.6% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:52 | CPU Usage: 88.9% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:37:58 | CPU Usage: 86.8% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 13:38:04 | CPU Usage: 84.8% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 14:30:31 | CPU Usage: 45.8% | Memory Usage: 85% | Disk Usage: 36%
2023-04-14 14:30:37 | CPU Usage: 75.0% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:30:44 | CPU Usage: 71.4% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:30:50 | CPU Usage: 81.2% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:30:56 | CPU Usage: 84.1% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:31:02 | CPU Usage: 73.5% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:31:08 | CPU Usage: 82.1% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:31:15 | CPU Usage: 74.2% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:31:21 | CPU Usage: 75.4% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 14:31:27 | CPU Usage: 87.5% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 15:26:08 | CPU Usage: 72.3% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:15 | CPU Usage: 55.6% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:21 | CPU Usage: 86.4% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:27 | CPU Usage: 88.2% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:33 | CPU Usage: 87.3% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:39 | CPU Usage: 82.4% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:46 | CPU Usage: 78.5% | Memory Usage: 88% | Disk Usage: 36%
2023-04-14 15:26:52 | CPU Usage: 77.8% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 15:26:58 | CPU Usage: 77.8% | Memory Usage: 87% | Disk Usage: 36%
2023-04-14 15:27:04 | CPU Usage: 73.6% | Memory Usage: 87% | Disk Usage: 36%
